x,y1,y2,y3,y4
-20.0,799.5945,8000.366,-400.04276,-58.42528
-19.9,791.64856,7880.6416,-396.1347,-57.23508
-19.8,783.7455,7762.724,-391.96524,-57.379307
-19.7,776.1221,7645.7925,-387.59576,-57.290478
-19.6,768.05817,7529.506,-383.82935,-56.595024
-19.5,760.88477,7415.149,-380.6936,-56.857723
-19.4,752.59534,7301.362,-376.7279,-56.682827
-19.3,745.46875,7188.6753,-372.69653,-55.621624
-19.2,737.3558,7077.9937,-368.15802,-56.011166
-19.1,729.2534,6967.632,-364.88736,-55.21537
-19.0,721.9292,6859.03,-360.76553,-54.680923
-18.9,714.6168,6750.8086,-356.99927,-54.945652
-18.8,706.55804,6644.3936,-353.25983,-54.359154
-18.7,699.8227,6539.169,-349.31915,-53.821545
-18.6,691.65894,6434.812,-345.68555,-53.689724
-18.5,684.34155,6332.099,-341.79816,-53.01214
-18.4,677.2654,6229.047,-338.11572,-53.33143
-18.3,669.95593,6127.9883,-334.39908,-53.18851
-18.2,662.46924,6028.9893,-331.65463,-52.29612
-18.1,655.4338,5930.0054,-327.4662,-52.176086
-18.0,647.87885,5832.302,-323.97162,-52.00297
-17.9,641.091,5734.907,-320.90628,-51.38382
-17.8,633.7344,5639.5923,-316.5956,-51.518456
-17.7,626.6494,5545.282,-312.91025,-51.401764
-17.6,619.3326,5451.82,-309.54913,-50.731926
-17.5,612.3392,5358.953,-306.02872,-50.617966
-17.4,605.6925,5267.7764,-302.9774,-49.83942
-17.3,598.47723,5177.841,-299.15298,-49.723244
-17.2,591.2273,5088.881,-295.57617,-49.315
-17.1,585.29785,5000.2476,-292.04593,-49.403183
-17.0,578.41956,4913.121,-289.0593,-49.309677
-16.9,571.3866,4826.544,-286.03415,-48.81581
-16.8,564.5593,4741.2144,-282.48453,-48.371574
-16.7,557.84717,4657.859,-278.90958,-47.74787
-16.6,550.62067,4574.3174,-275.8069,-47.52424
-16.5,544.78253,4492.4795,-272.4661,-47.270443
-16.4,538.0516,4410.6304,-268.548,-47.394012
-16.3,531.2378,4330.8545,-265.7593,-47.09017
-16.2,525.1085,4251.3486,-262.37527,-47.014633
-16.1,518.4205,4172.8467,-258.90936,-46.389046
-16.0,511.61032,4096.17,-255.75587,-45.546932
-15.9,505.5996,4019.8145,-252.96443,-45.262417
-15.8,499.61786,3944.4817,-249.90314,-45.422077
-15.7,493.14856,3869.975,-246.44562,-44.827026
-15.6,486.4885,3796.2004,-243.28534,-45.21862
-15.5,480.457,3723.382,-240.16814,-44.234264
-15.4,473.99585,3652.3184,-237.22897,-44.06847
-15.3,467.91895,3581.6035,-234.31783,-43.439686
-15.2,462.47934,3511.577,-230.65099,-43.24288
-15.1,455.55527,3442.6594,-227.57362,-43.238033
-15.0,450.01773,3375.2307,-225.0646,-42.652607
-14.9,444.0385,3308.4128,-221.7418,-42.70811
-14.8,438.08127,3242.0398,-219.37575,-42.3504
-14.7,432.21283,3176.8826,-216.36314,-41.70889
-14.6,426.47534,3112.1755,-212.71051,-42.251213
-14.5,420.72348,3048.353,-210.39526,-41.04958
-14.4,414.4332,2986.2786,-207.43858,-41.15275
-14.3,409.23715,2923.7969,-204.70636,-40.53949
-14.2,403.0229,2863.0142,-201.9059,-40.508656
-14.1,397.80557,2803.2625,-198.34094,-40.507442
-14.0,391.77408,2743.6829,-195.91833,-40.22482
-13.9,386.5496,2685.5251,-193.6759,-39.88652
-13.8,381.3247,2628.1365,-190.77856,-39.728226
-13.7,375.21732,2571.7534,-187.44716,-38.70917
-13.6,370.00616,2515.7356,-184.46822,-38.844925
-13.5,364.31976,2459.9666,-182.51424,-38.665512
-13.4,358.85812,2406.2495,-179.90399,-37.81689
-13.3,353.5456,2353.0115,-177.19618,-38.193943
-13.2,348.92426,2300.1294,-174.23059,-37.732292
-13.1,343.3521,2248.3022,-171.36949,-37.10913
-13.0,337.52133,2196.7637,-169.26778,-37.24552
-12.9,332.84073,2146.3975,-166.01038,-36.279312
-12.8,327.55334,2097.353,-164.31369,-36.14885
-12.7,322.6378,2048.0107,-161.25525,-36.55641
-12.6,317.62598,2000.5266,-158.82167,-35.57303
-12.5,312.53226,1953.3301,-156.3394,-35.28392
-12.4,307.7659,1906.864,-153.92613,-35.392227
-12.3,302.3698,1860.8562,-151.73651,-35.076843
-12.2,297.63196,1816.0996,-148.42105,-34.855328
-12.1,292.53394,1771.3794,-146.87456,-34.122753
-12.0,287.93716,1727.6302,-144.1662,-34.43622
-11.9,282.90475,1685.4231,-141.83719,-33.436176
-11.8,278.78912,1643.4158,-139.16068,-33.82434
-11.7,273.98874,1601.1812,-137.10228,-33.32816
-11.6,269.34372,1560.6193,-134.90565,-32.932632
-11.5,264.14917,1520.8949,-132.10593,-32.536026
-11.4,259.8432,1481.3711,-130.44905,-32.646156
-11.3,255.8535,1443.3031,-127.32081,-32.085896
-11.2,250.80649,1404.5403,-125.43543,-31.754202
-11.1,246.49818,1367.2625,-123.3051,-31.65786
-11.0,241.56177,1331.0049,-120.95349,-30.80789
-10.9,237.44876,1295.0104,-118.43462,-30.874748
-10.8,233.54285,1259.8154,-116.63401,-30.01893
-10.7,229.41203,1225.2588,-113.99503,-29.743368
-10.6,224.26999,1190.8538,-112.76951,-30.126514
-10.5,220.11299,1157.1669,-110.43255,-29.31874
-10.4,216.14302,1124.5093,-108.121796,-29.11481
-10.3,212.48409,1093.1377,-105.88181,-28.871971
-10.2,208.27956,1060.9294,-104.44627,-28.27862
-10.1,204.44897,1030.2416,-102.27096,-28.777555
-10.0,199.82034,999.7505,-99.9179,-28.323532
-9.9,195.96893,970.3024,-97.75332,-27.531376
-9.8,191.88504,941.3997,-95.76021,-26.908848
-9.7,188.33582,912.38684,-93.97489,-27.055464
-9.6,184.75255,885.09546,-91.86692,-27.084616
-9.5,180.38258,857.574,-90.25406,-26.82601
-9.4,176.6272,830.5914,-88.7408,-26.11506
-9.3,173.26831,804.79517,-86.131226,-25.43222
-9.2,169.62259,778.29236,-85.12757,-25.111784
-9.1,165.6212,753.8918,-82.82008,-25.057257
-9.0,161.50386,729.4113,-80.85307,-25.196255
-8.9,158.1489,705.1355,-79.03092,-24.54891
-8.8,154.70143,681.1466,-77.726105,-24.492868
-8.7,151.44154,658.3059,-75.64864,-24.507793
-8.6,148.3289,636.2794,-74.07183,-23.360666
-8.5,144.39227,613.8413,-72.724884,-23.494463
-8.4,141.37192,592.2643,-70.53455,-23.013897
-8.3,137.66252,571.5783,-69.23877,-22.76789
-8.2,134.54332,550.9838,-67.66272,-23.092783
-8.1,131.4166,531.4865,-66.01931,-22.178595
-8.0,128.20036,511.94034,-64.38548,-22.048819
-7.9,124.66469,492.97195,-61.939003,-21.43494
-7.8,121.70469,474.20145,-60.52725,-21.182455
-7.7,118.74144,456.54816,-59.44035,-20.884132
-7.6,115.73628,438.70807,-57.330627,-20.867687
-7.5,112.61401,421.48386,-56.236797,-20.03301
-7.4,109.504005,405.3379,-54.655033,-19.70274
-7.3,106.42307,389.43307,-52.89042,-19.516356
-7.2,103.58488,373.03488,-52.23434,-19.33659
-7.1,100.95503,357.81326,-50.21371,-19.406574
-7.0,98.35684,342.62915,-49.483845,-19.082975
-6.9,94.840836,328.68008,-47.478924,-18.638203
-6.8,92.94638,314.20853,-46.408497,-18.58697
-6.7,89.630745,301.10916,-44.724163,-18.410055
-6.6,87.42503,287.60077,-43.830807,-17.970173
-6.5,84.96159,274.63522,-42.30687,-17.51279
-6.4,82.33138,261.64813,-40.595856,-17.528002
-6.3,79.40492,249.8779,-40.09761,-16.676882
-6.2,77.37683,238.80313,-38.58713,-16.403149
-6.1,74.45955,226.96465,-36.82318,-16.01518
-6.0,71.945206,215.6135,-35.826492,-15.619363
-5.9,69.30357,205.63237,-34.54052,-15.58318
-5.8,67.51523,194.67569,-33.823044,-15.418935
-5.7,65.30528,184.87335,-32.2142,-14.869003
-5.6,63.038593,175.7886,-30.878754,-14.402933
-5.5,60.099304,166.74529,-30.091936,-14.802319
-5.4,58.71287,157.20323,-29.483572,-13.885376
-5.3,56.335083,148.44629,-28.302588,-13.864167
-5.2,54.510063,140.40688,-27.438871,-13.277272
-5.1,52.049755,132.98033,-25.790014,-13.378932
-5.0,49.964558,124.8288,-24.913782,-12.65709
-4.9,47.668858,118.08443,-23.774424,-12.274809
-4.8,46.57548,110.8985,-22.658443,-12.320929
-4.7,44.36982,104.2018,-22.185911,-12.260465
-4.6,42.034653,97.76613,-20.788406,-12.073105
-4.5,40.07755,91.0256,-20.603636,-11.548739
-4.4,39.203842,85.10043,-19.341127,-11.201265
-4.3,37.18374,79.52654,-18.921644,-10.713646
-4.2,34.839714,74.2065,-17.65812,-11.064585
-4.1,33.205322,69.01064,-16.661104,-10.386852
-4.0,32.18009,63.759686,-16.38554,-10.407404
-3.9,30.383162,59.451454,-15.373775,-9.4390135
-3.8,29.122147,54.847176,-14.415423,-9.534024
-3.7,27.34436,50.61572,-14.054208,-9.091007
-3.6,25.941383,46.65539,-12.855107,-9.248572
-3.5,24.038496,42.406124,-12.654947,-8.2418375
-3.4,22.860252,39.50314,-11.560081,-7.949064
-3.3,21.842823,36.030964,-10.8396435,-8.087956
-3.2,20.80442,32.488426,-10.059884,-7.6671124
-3.1,19.511744,29.431433,-9.587,-7.01699
-3.0,17.93672,27.36266,-9.252796,-6.864972
-2.9,17.181328,24.73328,-8.906767,-7.0886655
-2.8,15.800486,21.961899,-7.7071147,-6.2088304
-2.7,14.117082,19.629326,-6.9837084,-5.949114
-2.6,13.963223,17.557796,-7.0659766,-6.0530214
